"OCC_CODE","TITLE","OCC_GROUP","TOTAL_EMPLOYEES","SALARY","YEAR","OCC_CODE_SHORT"
"11_0000","Management Occupations","major",6003930,96150,2007,"11"
"23_0000","Legal Occupations","major",998590,88450,2007,"23"
"15_0000","Computer And Mathematical Occupations","major",3191360,72190,2007,"15"
"17_0000","Architecture And Engineering Occupations","major",2486020,68880,2007,"17"
"29_0000","Healthcare Practitioners And Technical Occupations","major",6877680,65020,2007,"29"
"13_0000","Business And Financial Operations Occupations","major",6015500,62410,2007,"13"
"19_0000","Life, Physical, And Social Science Occupations","major",1255670,62020,2007,"19"
"27_0000","Arts, Design, Entertainment, Sports, And Media Occupations","major",1761270,48410,2007,"27"
"25_0000","Education, Training, And Library Occupations","major",8316360,46610,2007,"25"
"47_0000","Construction And Extraction Occupations","major",6708200,40620,2007,"47"
"21_0000","Community And Social Services Occupations","major",1793040,40540,2007,"21"
"49_0000","Installation, Maintenance, And Repair Occupations","major",5390090,39930,2007,"49"
"33_0000","Protective Service Occupations","major",3087650,38750,2007,"33"
"41_0000","Sales And Related Occupations","major",14332020,35240,2007,"41"
"51_0000","Production Occupations","major",10146560,31310,2007,"51"
"43_0000","Office And Administrative Support Occupations","major",23270810,31200,2007,"43"
"53_0000","Transportation And Material Moving Occupations","major",9629030,30680,2007,"53"
"31_0000","Healthcare Support Occupations","major",3625240,25600,2007,"31"
"39_0000","Personal Care And Service Occupations","major",3339510,23980,2007,"39"
"37_0000","Building And Grounds Cleaning And Maintenance Occupations","major",4403900,23560,2007,"37"
"45_0000","Farming, Fishing, And Forestry Occupations","major",448000,22640,2007,"45"
"35_0000","Food Preparation And Serving Related Occupations","major",11273850,19440,2007,"35"
"11_0000","Management Occupations","major",6152650,100310,2008,"11"
"23_0000","Legal Occupations","major",1003270,92270,2008,"23"
"15_0000","Computer And Mathematical Science Occupations","major",3308260,74500,2008,"15"
"17_0000","Architecture And Engineering Occupations","major",2521630,71430,2008,"17"
"29_0000","Healthcare Practitioners And Technical Occupations","major",7076800,67890,2008,"29"
"13_0000","Business And Financial Operations Occupations","major",6135520,64720,2008,"13"
"19_0000","Life, Physical, And Social Science Occupations","major",1296840,64280,2008,"19"
"27_0000","Arts, Design, Entertainment, Sports, And Media Occupations","major",1804940,50670,2008,"27"
"25_0000","Education, Training, And Library Occupations","major",8451250,48460,2008,"25"
"47_0000","Construction And Extraction Occupations","major",6548760,42350,2008,"47"
"21_0000","Community And Social Services Occupations","major",1861750,41790,2008,"21"
"49_0000","Installation, Maintenance, And Repair Occupations","major",5374850,41230,2008,"49"
"33_0000","Protective Service Occupations","major",3128960,40200,2008,"33"
"41_0000","Sales And Related Occupations","major",14336430,36080,2008,"41"
"51_0000","Production Occupations","major",9919120,32320,2008,"51"
"43_0000","Office And Administrative Support Occupations","major",23231750,32220,2008,"43"
"53_0000","Transportation And Material Moving Occupations","major",9508750,31450,2008,"53"
"31_0000","Healthcare Support Occupations","major",3779280,26340,2008,"31"
"37_0000","Building And Grounds Cleaning And Maintenance Occupations","major",4429870,24370,2008,"37"
"39_0000","Personal Care And Service Occupations","major",3437520,24120,2008,"39"
"45_0000","Farming, Fishing, And Forestry Occupations","major",438490,23560,2008,"45"
"35_0000","Food Preparation And Serving Related Occupations","major",11438550,20220,2008,"35"
"11_0000","Management Occupations","major",6116380,102900,2009,"11"
"23_0000","Legal Occupations","major",999020,95820,2009,"23"
"15_0000","Computer And Mathematical Science Occupations","major",3303690,76290,2009,"15"
"17_0000","Architecture And Engineering Occupations","major",2412730,73590,2009,"17"
"29_0000","Healthcare Practitioner And Technical Occupations","major",7200950,69690,2009,"29"
"13_0000","Business And Financial Operations Occupations","major",6063670,65900,2009,"13"
"19_0000","Life, Physical, And Social Science Occupations","major",1308380,65660,2009,"19"
"27_0000","Arts, Design, Entertainment, Sports, And Media Occupations","major",1745670,51720,2009,"27"
"25_0000","Education, Training, And Library Occupations","major",8488740,49530,2009,"25"
"47_0000","Construction And Extraction Occupations","major",5751630,43350,2009,"47"
"21_0000","Community And Social Services Occupations","major",1891320,42750,2009,"21"
"49_0000","Installation, Maintenance, And Repair Occupations","major",5114150,42210,2009,"49"
"33_0000","Protective Service Occupations","major",3172420,41740,2009,"33"
"41_0000","Sales And Related Occupations","major",13715050,36020,2009,"41"
"51_0000","Production Occupations","major",8927130,33290,2009,"51"
"43_0000","Office And Administrative Support Occupations","major",22336450,32990,2009,"43"
"53_0000","Transportation And Material Moving Occupations","major",8844700,32180,2009,"53"
"31_0000","Healthcare Support Occupations","major",3886690,26710,2009,"31"
"37_0000","Building And Grounds Cleaning And Maintenance Occupations","major",4269480,24970,2009,"37"
"39_0000","Personal Care And Service Occupations","major",3461910,24680,2009,"39"
"45_0000","Farming, Fishing, And Forestry Occupations","major",419200,23990,2009,"45"
"35_0000","Food Preparation And Serving Related Occupations","major",11218260,20880,2009,"35"
"11_0000","Management Occupations","major",6022860,105440,2010,"11"
"23_0000","Legal Occupations","major",992650,96940,2010,"23"
"15_0000","Computer And Mathematical Occupations","major",3283950,77230,2010,"15"
"17_0000","Architecture And Engineering Occupations","major",2305530,75550,2010,"17"
"29_0000","Healthcare Practitioners And Technical Occupations","major",7346580,71280,2010,"29"
"13_0000","Business And Financial Operations Occupations","major",6090910,67690,2010,"13"
"19_0000","Life, Physical, And Social Science Occupations","major",1064510,66390,2010,"19"
"27_0000","Arts, Design, Entertainment, Sports, And Media Occupations","major",1716640,52290,2010,"27"
"25_0000","Education, Training, And Library Occupations","major",8457870,50440,2010,"25"
"47_0000","Construction And Extraction Occupations","major",5072530,43870,2010,"47"
"21_0000","Community And Social Service Occupations","major",1901180,43180,2010,"21"
"49_0000","Installation, Maintenance, And Repair Occupations","major",4928960,42810,2010,"49"
"33_0000","Protective Service Occupations","major",3187810,42490,2010,"33"
"41_0000","Sales And Related Occupations","major",13437980,36790,2010,"41"
"51_0000","Production Occupations","major",8236340,33770,2010,"51"
"43_0000","Office And Administrative Support Occupations","major",21503800,33470,2010,"43"
"53_0000","Transportation And Material Moving Occupations","major",8547980,32660,2010,"53"
"31_0000","Healthcare Support Occupations","major",3962930,26920,2010,"31"
"37_0000","Building And Grounds Cleaning And Maintenance Occupations","major",4175550,25300,2010,"37"
"39_0000","Personal Care And Service Occupations","major",3425220,24590,2010,"39"
"45_0000","Farming, Fishing, And Forestry Occupations","major",408040,24330,2010,"45"
"35_0000","Food Preparation And Serving Related Occupations","major",11027340,21240,2010,"35"
"11_0000","Management Occupations","major",6183820,107410,2011,"11"
"23_0000","Legal Occupations","major",1002330,98380,2011,"23"
"15_0000","Computer And Mathematical Occupations","major",3406720,78730,2011,"15"
"17_0000","Architecture And Engineering Occupations","major",2310830,77120,2011,"17"
"29_0000","Healthcare Practitioners And Technical Occupations","major",7514980,72730,2011,"29"
"13_0000","Business And Financial Operations Occupations","major",6178070,68740,2011,"13"
"19_0000","Life, Physical, And Social Science Occupations","major",1082370,67470,2011,"19"
"27_0000","Arts, Design, Entertainment, Sports, And Media Occupations","major",1725670,53850,2011,"27"
"25_0000","Education, Training, And Library Occupations","major",8409060,50870,2011,"25"
"47_0000","Construction And Extraction Occupations","major",4956770,44630,2011,"47"
"21_0000","Community And Social Service Occupations","major",1890410,43830,2011,"21"
"49_0000","Installation, Maintenance, And Repair Occupations","major",4988980,43390,2011,"49"
"33_0000","Protective Service Occupations","major",3202500,42730,2011,"33"
"41_0000","Sales And Related Occupations","major",13646450,37520,2011,"41"
"51_0000","Production Occupations","major",8365980,34220,2011,"51"
"43_0000","Office And Administrative Support Occupations","major",21384330,34120,2011,"43"
"53_0000","Transportation And Material Moving Occupations","major",8635940,33200,2011,"53"
"31_0000","Healthcare Support Occupations","major",3954070,27370,2011,"31"
"37_0000","Building And Grounds Cleaning And Maintenance Occupations","major",4191750,25560,2011,"37"
"39_0000","Personal Care And Service Occupations","major",3619250,24620,2011,"39"
"45_0000","Farming, Fishing, And Forestry Occupations","major",409590,24300,2011,"45"
