"OCC_CODE","TITLE","OCC_GROUP","TOTAL_EMPLOYEES","SALARY","YEAR","OCC_CODE_SHORT"
"29_1061","Anesthesiologists","",31030,192780,2007,"29"
"29_1067","Surgeons","",50260,191410,2007,"29"
"29_1023","Orthodontists","",5350,185340,2007,"29"
"29_1064","Obstetricians And Gynecologists","",21340,183600,2007,"29"
"29_1022","Oral And Maxillofacial Surgeons","",5040,178440,2007,"29"
"29_1024","Prosthodontists","",380,169360,2007,"29"
"29_1063","Internists, General","",46260,167270,2007,"29"
"29_1069","Physicians And Surgeons, All Other","",237400,155150,2007,"29"
"29_1062","Family And General Practitioners","",113250,153640,2007,"29"
"11_1011","Chief Executives","",299160,151370,2007,"11"
"29_1066","Psychiatrists","",21790,147620,2007,"29"
"29_1021","Dentists, General","",85260,147010,2007,"29"
"29_1065","Pediatricians, General","",28890,145210,2007,"29"
"29_1029","Dentists, All Other Specialists","",4490,120360,2007,"29"
"29_1081","Podiatrists","",9320,119790,2007,"29"
"23_1011","Lawyers","",555770,118280,2007,"23"
"11_9041","Engineering Managers","",184410,115610,2007,"11"
"53_2011","Airline Pilots, Copilots, And Flight Engineers","",78250,113940,2007,"53"
"17_2171","Petroleum Engineers","",16060,113890,2007,"17"
"11_3021","Computer And Information Systems Managers","",264990,113880,2007,"11"
"11_2021","Marketing Managers","",165240,113400,2007,"11"
"11_9121","Natural Sciences Managers","",39370,113170,2007,"11"
"53_2021","Air Traffic Controllers","",24180,107780,2007,"53"
"11_2022","Sales Managers","",322170,106790,2007,"11"
"11_3031","Financial Managers","",484390,106200,2007,"11"
"11_1021","General And Operations Managers","",1655410,103780,2007,"11"
"29_1041","Optometrists","",24900,101840,2007,"29"
"15_1111","Computer And Information Research Scientists","",28720,100640,2007,"15"
"19_2012","Physicists","",13980,99900,2007,"19"
"11_3049","Human Resources Managers, All Other","",58100,99810,2007,"11"
"23_1023","Judges, Magistrate Judges, And Magistrates","",25500,99270,2007,"23"
"29_1051","Pharmacists","",253110,98960,2007,"29"
"19_2011","Astronomers","",1520,98200,2007,"19"
"11_2031","Public Relations Managers","",47210,97170,2007,"11"
"17_2161","Nuclear Engineers","",14300,97130,2007,"17"
