"OCC_CODE","TITLE","OCC_CODE_SHORT"
"13_2011","Accountants And Auditors","13"
"27_2011","Actors","27"
"15_2011","Actuaries","15"
"23_1021","Administrative Law Judges, Adjudicators, And Hearing Officers","23"
"11_3011","Administrative Services Managers","11"
"25_3011","Adult Literacy, Remedial Education, And GED Teachers And Instructors","25"
"11_2011","Advertising And Promotions Managers","11"
"41_3011","Advertising Sales Agents","41"
"17_3021","Aerospace Engineering And Operations Technicians","17"
"17_2011","Aerospace Engineers","17"
"13_1011","Agents And Business Managers Of Artists, Performers, And Athletes","13"
"19_4011","Agricultural And Food Science Technicians","19"
"17_2021","Agricultural Engineers","17"
"45_2091","Agricultural Equipment Operators","45"
"45_2011","Agricultural Inspectors","45"
"25_1041","Agricultural Sciences Teachers, Postsecondary","25"
"45_2099","Agricultural Workers, All Other","45"
"53_2021","Air Traffic Controllers","53"
"53_1011","Aircraft Cargo Handling Supervisors","53"
"49_3011","Aircraft Mechanics And Service Technicians","49"
"51_2011","Aircraft Structure, Surfaces, Rigging, And Systems Assemblers","51"
"53_2022","Airfield Operations Specialists","53"
"53_2011","Airline Pilots, Copilots, And Flight Engineers","53"
"00_0000","All Occupations","00"
"43_4199","All Other Information And Record Clerks","43"
"53_3011","Ambulance Drivers And Attendants, Except Emergency Medical Technicians","53"
"39_3091","Amusement And Recreation Attendants","39"
"29_1061","Anesthesiologists","29"
"45_2021","Animal Breeders","45"
"33_9011","Animal Control Workers","33"
"19_1011","Animal Scientists","19"
"39_2011","Animal Trainers","39"
"19_3091","Anthropologists And Archeologists","19"
"25_1061","Anthropology And Archeology Teachers, Postsecondary","25"
"13_2021","Appraisers And Assessors Of Real Estate","13"
"23_1022","Arbitrators, Mediators, And Conciliators","23"
"17_1011","Architects, Except Landscape And Naval","17"
"17_3011","Architectural And Civil Drafters","17"
"25_1031","Architecture Teachers, Postsecondary","25"
"25_4011","Archivists","25"
"25_1062","Area, Ethnic, And Cultural Studies Teachers, Postsecondary","25"
"27_1011","Art Directors","27"
"25_1121","Art, Drama, And Music Teachers, Postsecondary","25"
"27_1019","Artists And Related Workers, All Other","27"
"51_2099","Assemblers And Fabricators, All Other","51"
"19_2011","Astronomers","19"
"27_2021","Athletes And Sports Competitors","27"
"29_9091","Athletic Trainers","29"
"19_2021","Atmospheric And Space Scientists","19"
"25_1051","Atmospheric, Earth, Marine, And Space Sciences Teachers, Postsecondary","25"
"25_9011","Audio-visual Collections Specialists","25"
"27_4011","Audio And Video Equipment Technicians","27"
"29_1181","Audiologists","29"
"49_3021","Automotive Body And Related Repairers","49"
"49_3022","Automotive Glass Installers And Repairers","49"
"49_3023","Automotive Service Technicians And Mechanics","49"
"49_2091","Avionics Technicians","49"
"39_6011","Baggage Porters And Bellhops","39"
"33_3011","Bailiffs","33"
"51_3011","Bakers","51"
"39_5011","Barbers","39"
"35_3011","Bartenders","35"
"49_3091","Bicycle Repairers","49"
"43_3011","Bill And Account Collectors","43"
"43_3021","Billing And Posting Clerks And Machine Operators","43"
"51_5011","Bindery Workers","51"
"19_1021","Biochemists And Biophysicists","19"
"25_1042","Biological Science Teachers, Postsecondary","25"
"19_1029","Biological Scientists, All Other","19"
